cellDN,controllerName,mcc,mnc,cellId,,,cellLac,cellExpectedCellRadius,cellType,cellDeploymentType,cellSectorIdentifier,cellBtsId,cellTechnology,siteIdentifier,cellid,siteAddress,siteTopologyName,siteT,siteLocationLongitude,siteLocationLatitude,siteLocationGroundHeight,antennaType,antennaAttenuationPattern,antennaGsmPropagationModel,antennaWcdmaPropagationModel,antennaEffectiveHeight,antennaBearing,antennaTilt,antennaLocationLongitude,antennaLocationLatitude,antennaState,cellName,antennaId,antennaHorBeamwidth,antennaTotalTilt,antennaVerBeamwidth,antennaDirectivity,antennaLineLoss
PLMN-PLMN/BSC-900649/BCF-1955/BTS-1955,KSMBSC2118,639,2,7740,0,,5077,,,,1,1955,GSM,17880_WN_WN0774,17880_WN_WN07740,17880_WN_WN0774-Othach_MGF_OUTL,17880_WN_WN0774-Othach_MGF_OUTL,17880,34.20677778,-0.028527778,,K80010868_900_03V,,,,45,0,0,34.20677778,-0.028527778, ,OTHACH0,,,,,,
PLMN-PLMN/BSC-900649/BCF-1088/BTS-1091,KSMBSC2118,639,2,654,4,,5077,,,,4,1091,GSM,13735_WN_WN0065,13735_WN_WN00654,13735_WN_WN0065-Kandenge_OUTL_MGF,13735_WN_WN0065-Kandenge_OUTL_MGF,13735,34.1788184,0.017267657,0,K742215_1800_00V,,,,14,5,1.5,34.1788184,0.017267657,1,KANDENGEDCP4,,,,,,
PLMN-PLMN/BSC-900649/BCF-1638/BTS-1638,KSMBSC2118,639,2,5780,0,,5075,,,,1,1638,GSM,15549_WN_WN0578,15549_WN_WN05780,15549_WN_WN0578-Barding_Market_GenOFF_MGF,15549_WN_WN0578-Barding_Market_GenOFF_MGF,15549,34.3237,0.0168,0,K80010699_900Mhz_04V,,,,41,40,0,34.3237,0.0168,1,BARDING0,,,,,,
PLMN-PLMN/BSC-900649/BCF-226/BTS-228,KSMBSC2118,639,2,1232,2,,5162,,,,3,228,GSM,13601_WN_WN0123,13601_WN_WN01232,13601_WN_WN0123-Madiany_OUTL_MGF,13601_WN_WN0123-Madiany_OUTL_MGF,13601,34.32445833,-0.283138889,0,K80010306_900_02V,,,,38,300,0,34.32445833,-0.283138889,1,MADIANYMR2,,,,,,
PLMN-PLMN/BSC-900649/BCF-1949/BTS-1951,KSMBSC2118,639,2,8402,2,,5162,,,,3,1951,GSM,17206_WN_WN0840,17206_WN_WN08402,17206_WN_WN0840-Agok_Village_Junction_MGF_OUTL,17206_WN_WN0840-Agok_Village_Junction_MGF_OUTL,17206,34.32622,-0.33303,0,K80010868_900_04V,,,,30,260,0,34.32622,-0.33303,1,AGOKVILLAGEJUN2,,,,,,
PLMN-PLMN/BSC-900649/BCF-1979/BTS-1981,KSMBSC2118,639,2,8542,2,,5077,,,,3,1981,GSM,,2,,,,#N/A,#N/A,,#N/A,,,,#N/A,#N/A,,#N/A,#N/A,,UHANYA2,,,,,,
PLMN-PLMN/BSC-900649/BCF-1064/BTS-1069,KSMBSC2118,639,2,3086,6,,5078,,,,6,1069,GSM,14277_WN_WN0308,14277_WN_WN03086,14277_WN_WN0308-Ndori_OUTL_MGF,14277_WN_WN0308-Ndori_OUTL_MGF,14277,34.37931389,-0.07175,0,K80010965_915MHz_03V,,,,44,240,2,34.37931389,-0.07175,1,NDORIDCP6,,,,,,
PLMN-PLMN/BSC-900649/BCF-1232/BTS-1235,KSMBSC2118,639,2,2984,4,,5077,,,,4,1235,GSM,13840_WN_WN0298,13840_WN_WN02984,13840_WN_WN0298-Nango_OUTL_MGF,13840_WN_WN0298-Nango_OUTL_MGF,13840,34.1701,-0.167382,0,K742215_1800_02V,,,,39,97,0.5,34.1701,-0.167382,1,NANGOMP4,,,,,,
PLMN-PLMN/BSC-900649/BCF-214/BTS-214,KSMBSC2118,639,2,630,0,,5077,,,,1,214,GSM,12933_WN_WN0063,12933_WN_WN00630,12933_WN_WN0063-Usigu_OUTL_MGF,12933_WN_WN0063-Usigu_OUTL_MGF,12933,34.09352222,-0.060116667,0,K80010306_900_05V,,,,59,54,9,34.09352222,-0.060116667,1,USIGUMR0,,,,,,
PLMN-PLMN/BSC-900649/BCF-112/BTS-116,KSMBSC2118,639,2,2915,5,,5075,,,,5,116,GSM,14655_WN_WN0291,14655_WN_WN02915,14655_WN_WN0291-Bondo_University_OUTL_MGF,14655_WN_WN0291-Bondo_University_OUTL_MGF,14655,34.25919444,-0.092972222,0,K742215_1800_02V,,,,35,145,1,34.25919444,-0.092972222,1,BONDOUNIVERDCS5,,,,,,
PLMN-PLMN/BSC-900649/BCF-1668/BTS-1669,KSMBSC2118,639,2,5821,1,,5162,,,,2,1669,GSM,16378_WN_WN0582,16378_WN_WN05821,16378_WN_WN0582-Ndigwa_OUTL,16378_WN_WN0582-Ndigwa_OUTL,16378,34.31681944,-0.352994444,0,K80010699_900Mhz_04V,,,,43,193,2,34.31681944,-0.352994444,1,NDIGWA1,,,,,,
PLMN-PLMN/BSC-900649/BCF-1124/BTS-1126,KSMBSC2118,639,2,2952,2,,5075,,,,3,1126,GSM,13900_WN_WN0295,13900_WN_WN02952,13900_WN_WN0295-Bar_Obel_OUTL_MGF,13900_WN_WN0295-Bar_Obel_OUTL_MGF,13900,34.33409948,-0.037449749,0,K80010310_900_02V,,,,44,255,4.5,34.33409948,-0.037449749,1,BAROBEP2,,,,,,
PLMN-PLMN/BSC-900649/BCF-1901/BTS-1906,KSMBSC2118,639,2,5806,6,,5075,,,,6,1906,GSM,16379_WN_WN0580,16379_WN_WN05806,16379_WN_WN0580-Lwak_OUTL_MGF,16379_WN_WN0580-Lwak_OUTL_MGF,16379,34.3574,-0.1403,0,K80010698_1800Mhz_02V,,,,34,244,1,34.3574,-0.1403,1,LWAK6,,,,,,
PLMN-PLMN/BSC-900649/BCF-1973/BTS-1976,KSMBSC2118,639,2,7094,4,,5075,,,,4,1976,GSM,18286_WN_WN0709,18286_WN_WN07094,18286_WN_WN0709-Bondo_Center_OUTL_MGF ,18286_WN_WN0709-Bondo_Center_OUTL_MGF ,18286,34.27711111,-0.103527778,,K80010868_1800_03V,,,,25,40,0,34.27711111,-0.103527778, ,BONDOCNTR4,,,,,,
